X,Result_COT
0.466815,1.9842642130
0.516815,1.7595102435
0.566815,1.5711320639
0.616815,1.4102161540
0.666815,1.2705147122
0.716815,1.1475154280
0.766815,1.0378751543
0.816815,0.9390613693
0.866815,0.8491177180
0.916815,0.7665061610
0.966815,0.6899980159
1.016815,0.6185969710
1.066815,0.5514837193
1.116815,0.4879752699
1.166815,0.4274945249
1.216815,0.3695472569
1.266815,0.3137042859
1.316815,0.2595874961
1.366815,0.2068586555
1.416815,0.1552102741
1.466815,0.1043580179
1.516815,0.0540341258
1.566815,0.0039816550
1.616815,-0.0460508760
1.666815,-0.0963145395
1.716815,-0.1470650639
1.766815,-0.1985681134
1.816815,-0.2511049704
1.866815,-0.3049789582
1.916815,-0.3605228494
1.966815,-0.4181077136
2.016815,-0.4781537476
2.066815,-0.5411437401
2.116815,-0.6076402039
2.166815,-0.6783074473
2.216815,-0.7539406647
2.266815,-0.8355046958
2.316815,-0.9241867300
2.366815,-1.0214692321
2.416815,-1.1292328902
2.466815,-1.2499051558
2.516815,-1.3866800692
2.566815,-1.5438525453
2.616815,-1.7273436756
2.666815,-1.9455579067
2.716815,-2.2108454011
2.766815,-2.5421348765
2.816815,-2.9699982913
2.866815,-3.5472449678
2.916815,-4.3736550115
2.966815,-5.6631666287
3.016815,-7.9725999244
3.066815,-13.3479889614
3.116815,-40.3501874273
3.166815,39.6394560920
3.216815,13.2688925977
3.266815,7.9440302477
3.316815,5.6485173580
3.366815,4.3647336654
3.416815,3.5412226160
3.466815,2.9656427857
3.516815,2.5388246787
3.566815,2.2082332722
3.616815,1.9434347440
3.666815,1.7255759515
3.716815,1.5423510445
3.766815,1.3853828786
3.816815,1.2487679274
3.866815,1.1282230189
3.916815,1.0205621962
3.966815,0.9233636777
4.016815,0.8347508995
4.066815,0.7532443951
4.116815,0.6776592466
4.166815,0.6070323286
4.216815,0.5405697689
4.266815,0.4776082579
4.316815,0.4175861031
4.366815,0.3600211339
4.416815,0.3044936470
4.466815,0.2506329499
4.516815,0.1981065709
4.566815,0.1466114194
4.616815,0.0958663603
4.666815,0.0456058661
4.716815,-0.0044257419
4.766815,-0.0544795158
4.816815,-0.1048069538
4.866815,-0.1556650815
4.916815,-0.2073217761
4.966815,-0.2600615552
5.016815,-0.3141921373
5.066815,-0.3700520690
5.116815,-0.4280198673
5.166815,-0.4885252245
5.216815,-0.5520630065
5.266815,-0.6192111515
5.316815,-0.6906537219
5.366815,-0.7672114020
5.416815,-0.8498822758
5.466815,-0.9398974104
5.516815,-1.0387980228
5.566815,-1.1485447795
5.616815,-1.2716762614
5.666815,-1.4115441980
5.716815,-1.5726733922
5.766815,-1.7613305106
5.816815,-1.9864586794
5.866815,-2.2612852199
5.916815,-2.6062460105
5.966815,-3.0546824624
6.016815,-3.6649547455
6.066815,-4.5493499229
6.116815,-5.9551171316
6.166815,-8.5544087844
6.216815,-15.0447790102
6.266815,-61.0796079245
