X,Result_F
-0.583185,-3.3030321721
-0.533185,-3.3944087893
-0.483185,-3.5290192493
-0.433185,-3.7156362300
-0.383185,-3.9695260920
-0.333185,-4.3168549601
-0.283185,-4.8039042155
-0.233185,-5.5182627594
-0.183185,-6.6448354585
-0.133185,-8.6481211616
-0.083185,-13.1119922942
-0.033185,-31.1714643117
0.016815,-30239.7489431709
0.066815,-741.4416667862
0.116815,-92.5039979136
0.166815,-18.0696365685
0.216815,-4.3481130567
0.266815,-1.1697387487
0.316815,-0.3339949630
0.366815,-0.0978772839
0.416815,-0.0287044190
0.466815,-0.0082424319
0.516815,-0.0022682160
0.566815,-0.0005842470
0.616815,-0.0001369000
0.666815,-0.0000281067
0.716815,-0.0000047933
0.766815,-0.0000006253
0.816815,-0.0000000542
0.866815,-0.0000000024
0.916815,-0.0000000000
0.966815,-0.0000000000
1.016815,0.0000000000
1.066815,0.0000000000
1.116815,0.0000000002
1.166815,0.0000000047
1.216815,0.0000000412
1.266815,0.0000002208
1.316815,0.0000008638
1.366815,0.0000027090
1.416815,0.0000072144
1.466815,0.0000169476
1.516815,0.0000360546
1.566815,0.0000707906
1.616815,0.0001300972
1.666815,0.0002262053
1.716815,0.0003752478
1.766815,0.0005978666
1.816815,0.0009197997
1.866815,0.0013724403
1.916815,0.0019933562
1.966815,0.0028267676
2.016815,0.0039239748
2.066815,0.0053437382
2.116815,0.0071526050
2.166815,0.0094251870
2.216815,0.0122443871
2.266815,0.0157015787
2.316815,0.0198967391
2.366815,0.0249385396
2.416815,0.0309443963
2.466815,0.0380404826
2.516815,0.0463617081
2.566815,0.0560516669
2.616815,0.0672625571
2.666815,0.0801550757
2.716815,0.0953606364
2.766815,0.1116694933
2.816815,0.1306540340
2.866815,0.1520451419
2.916815,0.1760437325
2.966815,0.2028582040
3.016815,0.2327042247
3.066815,0.2658045132
3.116815,0.3023886124
3.166815,0.3426926595
3.216815,0.3869591519
3.266815,0.4354367122
3.316815,0.4883798509
3.366815,0.5460487301
3.416815,0.6087089265
3.466815,0.6766311970
3.516815,0.7500912454
3.566815,0.8293694918
3.616815,0.9147508453
3.666815,1.0065244796
3.716815,1.1049836129
3.766815,1.2104252913
3.816815,1.3231501768
3.866815,1.4434623400
3.916815,1.5716690572
3.966815,1.7080806122
4.016815,1.8530101039
4.066815,2.0067732577
4.116815,2.1696882428
4.166815,2.3420754944
4.216815,2.5242575412
4.266815,2.7165588373
4.316815,2.9193056002
4.366815,3.1328256531
4.416815,3.3574482725
4.466815,3.5935040407
4.516815,3.8413247030
4.566815,4.1012430301
4.616815,4.3735926850
4.666815,4.6587080943
4.716815,4.9569243243
4.766815,5.2685769616
4.816815,5.5940019980
4.866815,5.9335357195
4.916815,6.2875145997
4.966815,6.6562751967
5.016815,7.0401540549
5.066815,7.4394876097
5.116815,7.8546120965
5.166815,8.2858634628
5.216815,8.7335772846
5.266815,9.1980886858
5.316815,9.6797322603
5.366815,10.1788419987
5.416815,10.6957512169
5.466815,11.2307924885
5.516815,11.7842975793
5.566815,12.3565973860
5.616815,12.9480218762
5.666815,13.5589000317
5.716815,14.1895597948
5.766815,14.8403280164
5.816815,15.5115304067
5.866815,16.2034914884
5.916815,16.9165345522
5.966815,17.6509816139
6.016815,18.4071533745
6.066815,19.1853691815
6.116815,19.9859469929
6.166815,20.8092033420
6.216815,21.6554533055
6.266815,22.5250104719
