X,Result_F
-0.583185,-3.3030321777
-0.533185,-3.3944088431
-0.483185,-3.5290192752
-0.433185,-3.7156362419
-0.383185,-3.9695260973
-0.333185,-4.3168549624
-0.283185,-4.8039041670
-0.233185,-5.5182625731
-0.183185,-6.6448353826
-0.133185,-8.6481211229
-0.083185,-13.1119922614
-0.033185,-31.1714645637
0.016815,-30239.7346795789
0.066815,-741.4416152949
0.116815,-92.5039905475
0.166815,-18.0696368822
0.216815,-4.3481131470
0.266815,-1.1697387992
0.316815,-0.3339949861
0.366815,-0.0978772868
0.416815,-0.0287044211
0.466815,-0.0082424325
0.516815,-0.0022682161
0.566815,-0.0005842470
0.616815,-0.0001369000
0.666815,-0.0000281067
0.716815,-0.0000047933
0.766815,-0.0000006253
0.816815,-0.0000000542
0.866815,-0.0000000024
0.916815,-0.0000000000
0.966815,-0.0000000000
1.016815,0.0000000000
1.066815,0.0000000000
1.116815,0.0000000002
1.166815,0.0000000047
1.216815,0.0000000412
1.266815,0.0000002208
1.316815,0.0000008638
1.366815,0.0000027090
1.416815,0.0000072144
1.466815,0.0000169476
1.516815,0.0000360546
1.566815,0.0000707905
1.616815,0.0001300972
1.666815,0.0002262053
1.716815,0.0003752478
1.766815,0.0005978666
1.816815,0.0009197996
1.866815,0.0013724404
1.916815,0.0019933564
1.966815,0.0028267677
2.016815,0.0039239747
2.066815,0.0053437376
2.116815,0.0071526057
2.166815,0.0094251877
2.216815,0.0122443875
2.266815,0.0157015784
2.316815,0.0198967373
2.366815,0.0249385417
2.416815,0.0309443983
2.466815,0.0380404838
2.516815,0.0463617076
2.566815,0.0560516631
2.616815,0.0672625627
2.666815,0.0801550807
2.716815,0.0948982940
2.766815,0.1116694933
2.816815,0.1306540280
2.866815,0.1520451543
2.916815,0.1760437437
2.966815,0.2028582122
3.016815,0.2327042272
3.066815,0.2658045060
3.116815,0.3023885899
3.166815,0.3426926820
3.216815,0.3869591695
3.266815,0.4354367209
3.316815,0.4883798453
3.366815,0.5460487024
3.416815,0.6087089678
3.466815,0.6766312309
3.516815,0.7500912666
3.566815,0.8293694930
3.616815,0.9147508168
3.666815,1.0065245503
3.716815,1.1049836732
3.766815,1.2104253343
3.816815,1.3231501934
3.866815,1.4434623183
3.916815,1.5716689817
3.966815,1.7080807123
4.016815,1.8530101816
4.066815,2.0067733018
4.116815,2.1696882391
4.166815,2.3420754249
4.216815,2.5242573832
4.266815,2.7165589663
4.316815,2.9193056879
4.366815,3.1328256829
4.416815,3.3574482237
4.466815,3.5935038877
4.516815,3.8413249043
4.566815,4.1012431818
4.616815,4.3735927681
4.666815,4.6587080855
4.716815,4.9569241952
4.766815,5.2685766777
4.816815,5.5940022386
4.866815,5.9335358804
4.916815,6.2875146550
4.966815,6.6562751153
5.016815,7.0401537992
5.066815,7.4394879690
5.116815,7.8546123645
5.166815,8.2858636113
5.216815,8.7335772796
5.266815,9.1980884869
5.316815,9.6797318197
5.366815,10.1788424082
5.416815,10.6957514926
5.466815,11.2307925938
5.516815,11.7842974712
5.566815,12.3565970137
5.616815,12.9480211804
5.666815,13.5589004735
5.716815,14.1895600494
5.766815,14.8403280380
5.816815,15.5115301419
5.866815,16.2034908753
5.916815,16.9165335190
5.966815,17.6509820619
6.016815,18.4071535700
6.066815,19.1853690687
6.116815,19.9859465072
6.166815,20.8092024093
6.216815,21.6554539960
6.266815,22.5250108908
